cruise,time,latitude,longitude,line,station,scientific_name,larvae_count,larvae_10m2
,UTC,degrees_north,degrees_east,,,,,Larvae 10/M^2
198003,1980-04-08T02:50:00Z,33.823334,-118.628334,86.7,35.0,Leuroglossus stilbius,28,284.39215
198003,1980-04-08T02:50:00Z,33.823334,-118.628334,86.7,35.0,Lipolagus ochotensis,3,30.470589
198003,1980-04-08T02:50:00Z,33.823334,-118.628334,86.7,35.0,Sebastes,1,10.156863
198003,1980-04-08T02:50:00Z,33.823334,-118.628334,86.7,35.0,Stenobrachius leucopsarus,1,10.156863
198003,1980-04-08T02:44:00Z,33.823334,-118.628334,86.7,35.0,Engraulis mordax,3,607.14
198003,1980-04-08T04:47:00Z,33.785,-118.566666,86.7,34.6,Engraulis mordax,6,1207.74
198003,1980-04-09T03:00:00Z,32.936665,-120.31333,86.7,60.0,Merluccius productus,35,7308.0
198003,1980-04-09T03:50:00Z,32.99,-120.35,86.7,60.0,Lipolagus ochotensis,2,24.17154
198003,1980-04-09T03:50:00Z,32.99,-120.35,86.7,60.0,Merluccius productus,225,2719.2983
198003,1980-04-09T03:50:00Z,32.99,-120.35,86.7,60.0,Sebastes,4,48.34308
198003,1980-04-09T03:50:00Z,32.99,-120.35,86.7,60.0,Sebastes aurora,1,12.08577
198003,1980-04-09T03:50:00Z,32.99,-120.35,86.7,60.0,Stenobrachius leucopsarus,1,12.08577
198003,1980-04-09T03:50:00Z,32.99,-120.35,86.7,60.0,Teleostei,11,132.94347
198003,1980-04-09T03:41:00Z,32.99,-120.35,86.7,60.0,Merluccius productus,14,2865.52
198003,1980-04-09T04:52:00Z,33.058334,-120.39333,86.3,60.0,Merluccius productus,3,627.27
198003,1980-04-09T05:29:00Z,33.111668,-120.43166,86.0,60.0,Merluccius productus,4,833.0
198003,1980-04-09T06:02:00Z,33.163334,-120.46833,85.7,60.0,Merluccius productus,5,1002.55
198003,1980-04-09T06:43:00Z,33.231667,-120.51666,85.3,60.0,Engraulis mordax,1,242.53
198003,1980-04-09T07:15:00Z,33.285,-120.55167,85.0,60.0,Engraulis mordax,2,450.0
198003,1980-04-09T10:11:00Z,33.45,-120.208336,85.0,55.0,Engraulis mordax,1,234.95
198003,1980-04-09T10:44:00Z,33.483334,-120.14166,85.0,54.0,Engraulis mordax,2,457.98
198003,1980-04-09T11:18:00Z,33.516666,-120.07,85.0,53.0,Engraulis mordax,1,204.55
198003,1980-04-09T12:17:00Z,33.583332,-119.93166,85.0,51.0,Engraulis mordax,5,1145.6
198003,1980-04-09T12:50:00Z,33.618332,-119.863335,85.0,50.0,Engraulis mordax,8,1784.4
198003,1980-04-09T13:24:00Z,33.655,-119.79,85.0,49.0,Engraulis mordax,21,4384.59
198003,1980-04-09T13:53:00Z,33.683334,-119.721664,85.0,48.0,Engraulis mordax,22,4613.4
198003,1980-04-09T14:24:00Z,33.716667,-119.65833,85.0,47.0,Engraulis mordax,7,1468.11
198003,1980-04-09T15:07:00Z,33.75,-119.58666,85.0,46.0,Engraulis mordax,11,2270.51
198003,1980-04-09T15:43:00Z,33.783333,-119.52,85.0,45.0,Engraulis mordax,4,846.56
198003,1980-04-09T16:16:00Z,33.816666,-119.44833,85.0,44.0,Engraulis mordax,34,7332.78
198003,1980-04-09T16:50:00Z,33.85,-119.38,85.0,43.0,Engraulis mordax,3,631.2
198003,1980-04-09T17:18:00Z,33.881664,-119.31167,85.0,42.0,Engraulis mordax,2,414.72
198003,1980-04-09T17:50:00Z,33.916664,-119.24167,85.0,41.0,Engraulis mordax,25,5188.0
198003,1980-04-09T18:25:00Z,33.95,-119.17167,85.0,40.0,Engraulis mordax,17,3728.27
198003,1980-04-09T19:22:00Z,34.016666,-119.03333,85.0,38.0,Engraulis mordax,3,629.73
198003,1980-04-09T19:57:00Z,34.053333,-119.10167,84.7,38.5,Engraulis mordax,3,606.03
198003,1980-04-09T20:38:00Z,34.088333,-119.17167,84.4,39.0,Engraulis mordax,3,648.42
198003,1980-02-28T04:10:00Z,31.995,-122.39166,86.7,90.0,Merluccius productus,6,32.16
198003,1980-02-28T08:50:00Z,32.326668,-121.71667,86.7,80.0,Engraulis mordax,2,18.003273
198003,1980-02-28T08:50:00Z,32.326668,-121.71667,86.7,80.0,Merluccius productus,2,18.003273
198003,1980-02-28T13:40:00Z,32.696667,-120.95333,86.7,70.0,Engraulis mordax,19,202.49516
198003,1980-02-28T13:40:00Z,32.696667,-120.95333,86.7,70.0,Merluccius productus,79,841.95355
198003,1980-02-28T18:20:00Z,33.033333,-120.25,86.7,60.0,Engraulis mordax,7,38.64
198003,1980-02-28T18:20:00Z,33.033333,-120.25,86.7,60.0,Merluccius productus,15,82.8
198003,1980-02-29T01:50:00Z,33.158333,-120.01,86.7,55.0,Engraulis mordax,3,32.36025
198003,1980-02-29T01:50:00Z,33.158333,-120.01,86.7,55.0,Merluccius productus,2,21.5735
198003,1980-02-29T04:20:00Z,33.291664,-119.73333,86.7,51.0,Engraulis mordax,71,350.03
198003,1980-02-29T04:20:00Z,33.291664,-119.73333,86.7,51.0,Merluccius productus,3,14.79
198003,1980-02-29T08:10:00Z,33.491665,-119.325,86.7,45.0,Engraulis mordax,851,4425.2
198003,1980-02-29T08:10:00Z,33.491665,-119.325,86.7,45.0,Merluccius productus,3,15.6
198003,1980-02-29T08:10:00Z,33.491665,-119.325,86.7,45.0,Stenobrachius leucopsarus,2,10.4
198003,1980-02-29T11:40:00Z,33.658333,-118.97667,86.7,40.0,Engraulis mordax,356,2054.12
198003,1980-02-29T11:40:00Z,33.658333,-118.97667,86.7,40.0,Merluccius productus,2,11.54
198003,1980-02-29T11:40:00Z,33.658333,-118.97667,86.7,40.0,Myctophidae,1,5.77
198003,1980-02-29T15:30:00Z,33.826668,-118.63167,86.7,35.0,Engraulis mordax,55,293.7
198003,1980-02-29T21:30:00Z,34.226665,-119.403336,83.3,40.6,Engraulis mordax,121,658.24
198003,1980-02-29T21:30:00Z,34.226665,-119.403336,83.3,40.6,Teleostei,29,157.76
198003,1980-02-29T23:20:00Z,34.173332,-119.50833,83.3,42.0,Engraulis mordax,76,911.68726
198003,1980-03-01T02:55:00Z,34.266666,-119.933334,82.0,46.0,Engraulis mordax,84,884.5455
198003,1980-03-01T02:55:00Z,34.266666,-119.933334,82.0,46.0,Merluccius productus,2,21.060606
198003,1980-03-01T08:15:00Z,33.85,-120.2,83.3,52.0,Engraulis mordax,143,1627.5292
198003,1980-03-01T08:15:00Z,33.85,-120.2,83.3,52.0,Merluccius productus,1,11.381323
198003,1980-03-01T11:25:00Z,33.74,-120.403336,83.3,55.0,Engraulis mordax,8,84.52555
198003,1980-03-01T11:25:00Z,33.74,-120.403336,83.3,55.0,Merluccius productus,9,95.09124
198003,1980-03-01T15:10:00Z,33.57,-120.75,83.3,60.0,Engraulis mordax,23,126.04
198003,1980-03-01T15:10:00Z,33.57,-120.75,83.3,60.0,Leuroglossus stilbius,1,5.48
198003,1980-03-01T15:10:00Z,33.57,-120.75,83.3,60.0,Merluccius productus,8,43.84
198003,1980-03-01T21:10:00Z,33.233334,-121.43667,83.3,70.0,Merluccius productus,2,26.44144
198003,1980-03-01T21:10:00Z,33.233334,-121.43667,83.3,70.0,Tarletonbeania crenularis,1,13.22072
198003,1980-03-02T09:45:00Z,32.566666,-122.80666,83.3,90.0,Merluccius productus,2,10.4
198003,1980-03-02T15:35:00Z,33.15,-123.223335,80.0,90.0,Merluccius productus,4,21.76
198003,1980-03-02T22:45:00Z,33.485,-122.53333,80.0,80.0,Merluccius productus,33,174.9
198003,1980-03-03T04:35:00Z,33.818333,-121.845,80.0,70.0,Merluccius productus,335,3437.1
